"ASIN","fnsku","商品名","Fulfillment center","Country code","Longest side","Median side","Shortest side","Measurement units","weight","Weight units","Item volume","Volume units","Product size tier","Average quantity on hand","Average quantity pending removal","Total item volume (est.)","Month of charge","Storage rate","通貨","Monthly storage fee (est.)","category","Total Incentive Amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B07RRJ5TNV","X000RJ6T1D","[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)","TYO2","JP","21.6","8.8","4.59","centimeters","0.16","kilograms","9.0E-4","cubic meters","Standard-Size","0.42","0.0","3.0E-4","2023-10","5000.0","JPY","1.6882","Clothing","0.0","--","0.03"
"B077VWS1WM","X000RJIWPT","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブラック, XXL)","TYO2","JP","30.39","22.8","3.6","centimeters","0.3","kilograms","0.0025","cubic meters","Standard-Size","1.03","0.0","0.0023","2023-10","5000.0","JPY","11.664","Clothing","0.0","--","0.1"
"B077VVKF43","X000RJJ4E7","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブラック, L)","TYO2","JP","27.18","20.32","1.52","centimeters","0.2","kilograms","8.0E-4","cubic meters","Standard-Size","0.55","0.0","5.0E-4","2023-10","5000.0","JPY","2.3012","Clothing","0.0","--","0.0"
"B0785671P8","X000RJJ4EH","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, S)","TYO2","JP","30.39","22.8","3.6","centimeters","0.3","kilograms","0.0025","cubic meters","Standard-Size","5.03","0.0","0.0126","2023-10","5000.0","JPY","62.7443","Clothing","0.0","--","0.0"
"B07RP6WZZR","X000RJJNN9","[Smart-Bear] T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (L, ブルー)","TYO2","JP","24.19","24.0","3.6","centimeters","0.14","kilograms","0.0021","cubic meters","Standard-Size","0.94","0.0","0.002","2023-10","5000.0","JPY","9.773","Clothing","0.0","--","0.0"
"B07RQ4X4HH","X000RJJU05","[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XXXL, ブルー)","TYO2","JP","28.4","24.2","2.2","centimeters","0.28","kilograms","0.0015","cubic meters","Standard-Size","1.0","0.0","0.0015","2023-10","5000.0","JPY","7.5579","Clothing","0.0","--","0.0"
"B07RRD55DH","X000RJLK1R","[Smart-Bear] T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ 綿 お風呂 プール ベビー 便利 柔らかい コットンバスタオル 鰐 ワニ 一角獣 ユニコーン (ユニコーン)","TYO2","JP","26.92","22.61","4.0","centimeters","0.29","kilograms","0.0024","cubic meters","Standard-Size","6.16","0.0","0.0149","2023-10","5000.0","JPY","74.5879","Clothing","0.0","--","0.03"
"B07RNDP5VC","X000RJN7VX","[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)","TYO2","JP","17.8","8.19","4.4","centimeters","0.34","kilograms","6.0E-4","cubic meters","Standard-Size","0.29","0.0","2.0E-4","2023-10","5000.0","JPY","0.9309","Clothing","0.0","--","0.0"
"B07RNDMDMY","X000RJN8F3","[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)","TYO2","JP","17.8","8.19","4.4","centimeters","0.34","kilograms","6.0E-4","cubic meters","Standard-Size","0.48","0.0","3.0E-4","2023-10","5000.0","JPY","1.5514","Clothing","0.0","--","0.0"
"B07RRJ3RVV","X000RJN8FD","[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)","TYO2","JP","17.8","8.2","4.4","centimeters","0.34","kilograms","6.0E-4","cubic meters","Standard-Size","0.13","0.0","1.0E-4","2023-10","5000.0","JPY","0.4142","Clothing","0.0","--","0.0"
"B07RQ4PJML","X000RKHTKR","[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XXL, グリーン)","TYO2","JP","29.56","24.37","2.39","centimeters","0.38","kilograms","0.0017","cubic meters","Standard-Size","1.0","0.0","0.0017","2023-10","5000.0","JPY","8.606","Clothing","0.0","--","0.0"
"B077V547KW","X000RKHUDX","【Smart-KM】T002 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ウマ, XL)","TYO2","JP","29.39","25.0","1.39","centimeters","0.22","kilograms","0.001","cubic meters","Standard-Size","1.0","0.0","0.001","2023-10","5000.0","JPY","5.105","Clothing","0.0","--","0.0"
"B077V2FCXS","X000RKHUVZ","【Smart-KM】T002 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (トリ, XL)","TYO2","JP","29.39","25.0","1.39","centimeters","0.22","kilograms","0.001","cubic meters","Standard-Size","1.0","0.0","0.001","2023-10","5000.0","JPY","5.105","Clothing","0.0","--","0.0"
"B077V3QCKG","X000RKI2IP","【Smart-KM】T002 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ペンギン, M)","TYO2","JP","29.4","25.0","1.4","centimeters","0.22","kilograms","0.001","cubic meters","Standard-Size","1.0","0.0","0.001","2023-10","5000.0","JPY","5.1435","Clothing","0.0","--","0.0"
"B07RS9PZVZ","X000RKI7FX","[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XXL, ピンク)","TYO2","JP","29.56","24.37","2.39","centimeters","0.38","kilograms","0.0017","cubic meters","Standard-Size","2.26","0.0","0.0039","2023-10","5000.0","JPY","19.4329","Clothing","0.0","--","0.0"
"B07RQ4V5TL","X000RKI9WT","[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, S)","TYO2","JP","29.39","24.0","2.39","centimeters","0.26","kilograms","0.0017","cubic meters","Standard-Size","0.74","0.0","0.0013","2023-10","5000.0","JPY","6.252","Clothing","0.0","--","0.0"
"B07RP581QF","X000RKID9X","[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, L)","TYO2","JP","29.4","24.0","2.4","centimeters","0.26","kilograms","0.0017","cubic meters","Standard-Size","0.94","0.0","0.0013","2023-10","5000.0","JPY","6.5533","Clothing","0.0","--","0.16"
"B07RR6Y96L","X000RKIE0V","[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ブルー, L)","TYO2","JP","29.4","24.0","2.4","centimeters","0.26","kilograms","0.0017","cubic meters","Standard-Size","2.16","0.0","0.0037","2023-10","5000.0","JPY","18.2947","Clothing","0.0","--","0.0"
"B07RN3T64S","X000RKIE15","[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, XL)","TYO2","JP","29.39","24.0","2.39","centimeters","0.26","kilograms","0.0017","cubic meters","Standard-Size","0.39","0.0","7.0E-4","2023-10","5000.0","JPY","3.2619","Clothing","0.0","--","0.0"
"B07RN4V5RG","X000RKIE1F","[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ブルー, S)","TYO2","JP","29.39","24.0","2.39","centimeters","0.26","kilograms","0.0017","cubic meters","Standard-Size","2.0","0.0","0.0034","2023-10","5000.0","JPY","16.8532","Clothing","0.0","--","0.0"
"B07RQ4M7ZG","X000RLC7VR","[Smart-Bear] T009 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 小さな恐竜 (XL)","TYO2","JP","29.2","23.6","1.6","centimeters","0.26","kilograms","0.0011","cubic meters","Standard-Size","2.0","0.0","0.0022","2023-10","5000.0","JPY","11.0227","Clothing","0.0","--","0.0"
"B07RP5CMMY","X000RLC8J3","[Smart-Bear] T009 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 小さな恐竜 (L)","TYO2","JP","29.19","23.6","1.6","centimeters","0.26","kilograms","0.0011","cubic meters","Standard-Size","1.0","0.0","0.0011","2023-10","5000.0","JPY","5.5095","Clothing","0.0","--","0.0"
"B07RPGFKYW","X000RLFVG5","[Smart-Bear] W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (B, l)","TYO2","JP","21.39","8.8","4.2","centimeters","0.18","kilograms","8.0E-4","cubic meters","Standard-Size","1.0","0.0","8.0E-4","2023-10","5000.0","JPY","3.9517","Clothing","0.0","--","0.0"
"B07RSJKTMR","X000RLFX9F","[Smart-Bear] W009 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (カバ, m)","TYO2","JP","16.6","7.4","4.6","centimeters","0.04","kilograms","6.0E-4","cubic meters","Standard-Size","1.0","0.0","6.0E-4","2023-10","5000.0","JPY","2.8245","Clothing","0.0","--","0.0"
"B07RRJ6YRS","X000RLFX9P","[Smart-Bear] W009 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (カバ, l)","TYO2","JP","17.0","7.4","4.2","centimeters","0.1","kilograms","5.0E-4","cubic meters","Standard-Size","1.0","0.0","5.0E-4","2023-10","5000.0","JPY","2.641","Clothing","0.0","--","0.0"
"B07RNDRGNN","X000RLFY6R","[Smart-Bear] W009 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (車, m)","TYO2","JP","33.53","18.28","3.04","centimeters","0.18","kilograms","0.0019","cubic meters","Standard-Size","1.0","0.0","0.0019","2023-10","5000.0","JPY","9.3138","Clothing","0.0","--","0.0"
"B07RPJH3V7","X000RLHM0D","[Smart-Bear] W007 子供の靴下 ソックス 夏 メッシュ素材 可愛い お姫様 学生用 通園 通学 男女兼用 吸湿 通気 5足セット (M, 女)","TYO2","JP","27.0","19.8","1.8","centimeters","0.04","kilograms","0.001","cubic meters","Standard-Size","1.0","0.0","0.001","2023-10","5000.0","JPY","4.81","Clothing","0.0","--","0.0"
"B07RN3QRFD","X000RMF9J3","[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (S, グレー)","TYO2","JP","28.4","24.2","2.2","centimeters","0.28","kilograms","0.0015","cubic meters","Standard-Size","1.1","0.0","0.0017","2023-10","5000.0","JPY","8.2893","Clothing","0.0","--","0.0"
"B077VSSFGH","X000RMFHM7","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブラック, S)","TYO2","JP","30.39","22.8","3.6","centimeters","0.3","kilograms","0.0025","cubic meters","Standard-Size","1.29","0.0","0.0032","2023-10","5000.0","JPY","16.0883","Clothing","0.0","--","0.0"
"B077VT3Z3N","X000RMFHMH","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, XL)","TYO2","JP","30.4","22.8","3.6","centimeters","0.3","kilograms","0.0025","cubic meters","Standard-Size","2.26","0.0","0.0056","2023-10","5000.0","JPY","28.1637","Clothing","0.0","--","0.0"
"B077V3BSHD","X000RMFKF1","【Smart-KM】T002 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ヒョウ, L)","TYO2","JP","29.39","25.0","1.39","centimeters","0.22","kilograms","0.001","cubic meters","Standard-Size","2.0","0.0","0.002","2023-10","5000.0","JPY","10.21","Clothing","0.0","--","0.0"
"B077V65KJV","X000RMFKFB","【Smart-KM】T002 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ウマ, L)","TYO2","JP","29.39","25.0","1.39","centimeters","0.22","kilograms","0.001","cubic meters","Standard-Size","2.0","0.0","0.002","2023-10","5000.0","JPY","10.21","Clothing","0.0","--","0.0"
"B07RP6Q7SK","X000RMG0AZ","[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, XXL)","TYO2","JP","29.39","24.0","2.39","centimeters","0.26","kilograms","0.0017","cubic meters","Standard-Size","0.52","0.0","8.0E-4","2023-10","5000.0","JPY","4.0774","Clothing","0.0","--","0.03"
"B07RNDQ5S7","X000RMJ4KD","[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)","TYO2","JP","21.6","8.8","4.6","centimeters","0.16","kilograms","9.0E-4","cubic meters","Standard-Size","6.03","0.0","0.0052","2023-10","5000.0","JPY","25.9414","Clothing","0.0","--","0.1"
"B07SPX94WQ","X000RONVT1","[Smart-Bear] W016 子供の靴下 キッズ 靴下 子供 カラフル くつした 女の子 男の子 ソックス 綿 5足セット (S)","TYO2","JP","17.8","8.19","4.59","centimeters","0.14","kilograms","7.0E-4","cubic meters","Standard-Size","1.06","0.06","7.0E-4","2023-10","5000.0","JPY","3.3447","Clothing","0.0","--","0.0"
"B07SRFJ9NM","X000ROSL5F","[Smart-Bear] T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (M, イエロー)","TYO2","JP","26.2","23.2","2.2","centimeters","0.25","kilograms","0.0013","cubic meters","Standard-Size","0.55","0.0","7.0E-4","2023-10","5000.0","JPY","3.6656","Clothing","0.0","--","0.0"
"B07SSF9C9K","X000ROSLCD","[Smart-Bear] T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XL, イエロー)","TYO2","JP","26.2","23.2","2.2","centimeters","0.25","kilograms","0.0013","cubic meters","Standard-Size","1.0","0.0","0.0013","2023-10","5000.0","JPY","6.6843","Clothing","0.0","--","0.0"
"B07SPWL813","X000RR8SF5","[Smart-Bear] W017 可愛い キッズ 子供 靴下 ソックス お姫様 通気6足 セット カラフル 女の子 薄め (S)","TYO2","JP","17.8","8.2","4.2","centimeters","0.16","kilograms","6.0E-4","cubic meters","Standard-Size","1.0","0.0","6.0E-4","2023-10","5000.0","JPY","3.0643","Clothing","0.0","--","0.0"
"B07SWQ5NN2","X000RRDNH3","[Smart-Bear] T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XXL, イエロー)","TYO2","JP","26.2","23.2","2.2","centimeters","0.25","kilograms","0.0013","cubic meters","Standard-Size","1.0","0.0","0.0013","2023-10","5000.0","JPY","6.253","Clothing","0.0","--","0.06"
"B07K5S9ZFC","X000RS958N","【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, L)","TYO2","JP","20.19","16.6","2.79","centimeters","0.12","kilograms","9.0E-4","cubic meters","Standard-Size","1.13","0.0","0.001","2023-10","5000.0","JPY","4.8248","Clothing","0.0","--","0.1"
"B07K5RYSRY","X000RS958X","【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, M)","TYO2","JP","29.0","21.2","2.2","centimeters","0.14","kilograms","0.0014","cubic meters","Standard-Size","2.39","0.0","0.0032","2023-10","5000.0","JPY","16.1387","Clothing","0.0","--","0.0"
"B07STH4C75","X000RS98Z3","[Smart-Bear] T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (S, イエロー)","TYO2","JP","26.2","23.2","2.2","centimeters","0.25","kilograms","0.0013","cubic meters","Standard-Size","0.77","0.0","0.001","2023-10","5000.0","JPY","5.1749","Clothing","0.0","--","0.0"
"B07SXR9R43","X000RS9911","[Smart-Bear] T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (L, イエロー)","TYO2","JP","26.2","23.2","2.2","centimeters","0.25","kilograms","0.0013","cubic meters","Standard-Size","1.74","0.0","0.0023","2023-10","5000.0","JPY","11.6436","Clothing","0.0","--","0.0"
"B07K5SL6NR","X000RS99BV","【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, XL)","TYO2","JP","20.8","15.8","4.0","centimeters","0.16","kilograms","0.0013","cubic meters","Standard-Size","2.0","0.0","0.0026","2023-10","5000.0","JPY","13.1418","Clothing","0.0","--","0.0"
"B07STH54RG","X000RS9JTX","[Smart-Bear] T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (M, ピンク)","TYO2","JP","26.2","23.2","2.2","centimeters","0.25","kilograms","0.0013","cubic meters","Standard-Size","0.26","0.0","3.0E-4","2023-10","5000.0","JPY","1.5094","Clothing","0.0","--","0.03"
"B07K5S1K82","X000RT577Z","【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, S)","TYO2","JP","21.6","17.6","2.79","centimeters","0.2","kilograms","0.0011","cubic meters","Standard-Size","3.0","0.0","0.0032","2023-10","5000.0","JPY","15.9051","Clothing","0.0","--","0.0"
"B07K5QMCP2","X000RT5CCP","【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)","TYO2","JP","20.0","17.19","3.2","centimeters","0.08","kilograms","0.0011","cubic meters","Standard-Size","2.0","0.0","0.0022","2023-10","5000.0","JPY","10.9984","Clothing","0.0","--","0.0"
"B07SSKF9KP","X000RT7GZB","[Smart-Bear] T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (XXXL, ピンク)","TYO2","JP","26.2","23.2","2.2","centimeters","0.25","kilograms","0.0013","cubic meters","Standard-Size","0.1","0.0","1.0E-4","2023-10","5000.0","JPY","0.6469","Clothing","0.0","--","0.0"
"B07STYCDP1","X000RTDCPJ","[Smart-Bear] W018 子供 ソックス 靴下 キッズ ガールズ お姫様 ベビー 柔らかい 春 夏 秋 通気 女の子 5足セット (イチゴ, m)","TYO2","JP","16.8","7.4","4.0","centimeters","0.12","kilograms","5.0E-4","cubic meters","Standard-Size","1.0","0.0","5.0E-4","2023-10","5000.0","JPY","2.4857","Clothing","0.0","--","0.0"
"B07STZQL61","X000RTDFPB","[Smart-Bear] W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (M)","TYO2","JP","21.19","8.59","5.0","centimeters","0.22","kilograms","9.0E-4","cubic meters","Standard-Size","1.35","0.0","0.0012","2023-10","5000.0","JPY","6.1635","Clothing","0.0","--","0.0"
"B07K5SBZLJ","X000RU1IF9","【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, L)","TYO2","JP","20.8","16.8","4.59","centimeters","0.24","kilograms","0.0016","cubic meters","Standard-Size","7.0","0.0","0.0112","2023-10","5000.0","JPY","56.1211","Clothing","0.0","--","0.0"
"B07SSHRDYL","X000RU3MNZ","[Smart-Bear] T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (XXL, グレー)","TYO2","JP","27.6","25.4","2.8","centimeters","0.1","kilograms","0.002","cubic meters","Standard-Size","0.58","0.0","0.0011","2023-10","5000.0","JPY","5.6971","Clothing","0.0","--","0.0"
"B07SV1BD6S","X000RU9VA3","[Smart-Bear] W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (L)","TYO2","JP","21.2","8.6","5.0","centimeters","0.22","kilograms","9.0E-4","cubic meters","Standard-Size","2.19","0.0","0.002","2023-10","5000.0","JPY","9.8483","Clothing","0.0","--","0.03"
"B07SW2G6Q1","X000RU9W93","[Smart-Bear] W501 スポーツソックス プロ用スキーソックス 子供用 厚手のニット 冬用 登山 遠足 スポーツソックス 男の子 女の子 2足入り (S(7-12歳), D)","TYO2","JP","22.2","8.8","4.4","centimeters","0.34","kilograms","9.0E-4","cubic meters","Standard-Size","1.0","0.0","9.0E-4","2023-10","5000.0","JPY","4.2967","Clothing","0.0","--","0.0"
"B07SZT7FVL","X000RUNRJJ","[Smart-Bear] W018 子供 ソックス 靴下 キッズ ガールズ お姫様 ベビー 柔らかい 春 夏 秋 通気 女の子 5足セット (クマ, l)","TYO2","JP","17.8","8.2","4.2","centimeters","0.14","kilograms","6.0E-4","cubic meters","Standard-Size","1.0","0.0","6.0E-4","2023-10","5000.0","JPY","3.0643","Clothing","0.0","--","0.0"
"B07SX88GB9","X000RVQ59R","[Smart-Bear] W018 子供 ソックス 靴下 キッズ ガールズ お姫様 ベビー 柔らかい 春 夏 秋 通気 女の子 5足セット (イチゴ, l)","TYO2","JP","16.8","7.4","4.0","centimeters","0.12","kilograms","5.0E-4","cubic meters","Standard-Size","2.0","0.0","0.001","2023-10","5000.0","JPY","4.9713","Clothing","0.0","--","0.0"
"B07Z8NVJ85","X000SXG8NH","[Smart-Bear] W501 スポーツソックス プロ用スキーソックス 子供用 厚手のニット 冬用 登山 遠足 スポーツソックス 男の子 女の子 2足入り (S(7-12歳), B)","TYO2","JP","21.84","8.89","4.57","centimeters","0.16","kilograms","9.0E-4","cubic meters","Standard-Size","1.0","0.0","9.0E-4","2023-10","5000.0","JPY","4.4352","Clothing","0.0","--","0.0"
"B07ZDDGYCG","X000SYG7KF","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (120cm, ピンクペンギン)","TYO2","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","0.74","0.0","0.0013","2023-10","5000.0","JPY","6.4565","Clothing","0.0","--","0.0"
"B07ZDF918T","X000SYG7KP","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (90cm, ピンクペンギン)","TYO2","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","0.97","0.0","0.0016","2023-10","5000.0","JPY","8.1408","Clothing","0.0","--","0.03"
"B07ZDCJ8VZ","X000SYG8F9","[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (100cm, ブルー鹿)","TYO2","JP","25.8","18.6","3.4","centimeters","0.32","kilograms","0.0016","cubic meters","Standard-Size","0.65","0.0","0.0011","2023-10","5000.0","JPY","5.2617","Clothing","0.0","--","0.0"
"B07ZDDDCCZ","X000SYH9W5","[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (100cm, グレー花柄)","TYO2","JP","26.0","18.6","3.6","centimeters","0.28","kilograms","0.0017","cubic meters","Standard-Size","0.74","0.0","0.0013","2023-10","5000.0","JPY","6.4565","Clothing","0.0","--","0.0"
"B07ZDD4WLZ","X000SYHBL9","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (130cm, ピンクペンギン)","TYO2","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","0.26","0.0","4.0E-4","2023-10","5000.0","JPY","2.2457","Clothing","0.0","--","0.0"
"B0829T96PP","X000TC1RGZ","[Smart-Bear] W110 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 ソックス 綿 抗菌防臭 吸汗吸湿 弾性 通気 柔らかい かわいい 通園通学 5足セット (XL, 自動車柄)","TYO2","JP","21.5","9.0","4.7","centimeters","0.16","kilograms","9.0E-4","cubic meters","Standard-Size","0.71","0.0","6.0E-4","2023-10","5000.0","JPY","3.2261","Clothing","0.0","--","0.0"
"B0829RCZH4","X000TC4Q7H","[Smart-Bear] W110 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 ソックス 綿 抗菌防臭 吸汗吸湿 弾性 通気 柔らかい かわいい 通園通学 5足セット (XL, キリン柄)","TYO2","JP","17.8","8.2","4.8","centimeters","0.12","kilograms","7.0E-4","cubic meters","Standard-Size","1.52","0.0","0.0011","2023-10","5000.0","JPY","5.3095","Clothing","0.0","--","0.0"
"B0829TMRDC","X000TC4Q7R","[Smart-Bear] W110 可愛い キッズ 靴下 子供 ボーイズ 靴下 男の子 ソックス 綿 抗菌防臭 吸汗吸湿 弾性 通気 柔らかい かわいい 通園通学 5足セット (S, 自動車柄)","TYO2","JP","17.8","8.2","4.8","centimeters","0.12","kilograms","7.0E-4","cubic meters","Standard-Size","2.0","0.0","0.0014","2023-10","5000.0","JPY","7.004","Clothing","0.0","--","0.0"
"B087TJKZPF","X000UKJ92F","[Smart-Bear] W024 子供靴下 ベビーソックス 滑り止め 柔らかい 快適 吸汗通気 男の子 女の子 かわいい動物柄 通気 5足セット (C, M:13?15cm(4-6歳))","TYO2","JP","17.6","8.2","4.6","centimeters","0.1","kilograms","7.0E-4","cubic meters","Standard-Size","1.0","0.0","7.0E-4","2023-10","5000.0","JPY","3.3184","Clothing","0.0","--","0.0"
"B0888CBJL3","X000UMZTOF","[Smart-Bear] W001 子供の靴下 ソックス 綿 メッシュ素材 薄型 春夏適用 通学 男の子 女の子 キッズ 通園 通学 5足セット (XL)","TYO2","JP","16.8","7.4","4.59","centimeters","0.12","kilograms","6.0E-4","cubic meters","Standard-Size","1.0","0.0","6.0E-4","2023-10","5000.0","JPY","2.8523","Clothing","0.0","--","0.0"
"B0888BSL15","X000UN0151","[Smart-Bear] W001 子供の靴下 ソックス 綿 メッシュ素材 薄型 春夏適用 通学 男の子 女の子 キッズ 通園 通学 5足セット (M)","TYO2","JP","16.8","7.4","4.59","centimeters","0.12","kilograms","6.0E-4","cubic meters","Standard-Size","1.0","0.0","6.0E-4","2023-10","5000.0","JPY","2.8523","Clothing","0.0","--","0.0"
"B088D9QLWQ","X000UNLXSP","[Smart-Bear] W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (純色-女, XL:18?21cm(8-11歳))","TYO2","JP","17.6","8.4","4.4","centimeters","0.1","kilograms","7.0E-4","cubic meters","Standard-Size","1.06","0.06","7.0E-4","2023-10","5000.0","JPY","3.2515","Clothing","0.0","--","0.0"
